#################################################################################################################
P1: agen=15, iter=30						
# imag	Op1			Selector1	Op2			Selector2	perf		time (seg)
10	random_flight		greedy		genetic_mutation	greedy		-13.96930719	2,998.84
10	spiral_dynamic		greedy		differential_mutation   greedy		-13.96250513	3,084.32
10	genetic_mutation	greedy		gravitational_search	all		-12.65241714	3,142.32
10	genetic_mutation	greedy		random_search		greedy		-13.78385689	3,032.87
10	random_flight		greedy		genetic_mutation	greedy		-13.97328623	2,993.45
20	random_search		greedy		random_flight		greedy		-14.2853275	5,789.69
20	random_flight		greedy		random_search		greedy		-13.95727903	5,803.73
20	random_search		greedy		random_flight		greedy		-14.26413281	5,778.33
20	random_sample		all		differential_mutation	greedy		-14.02991298	5,325.41
20 	gravitational_search	all		random_search		greedy		-13.97042443	5,217.78
30	genetic_mutation	greedy		random_flight		greedy		-14.34882254	8,808.26
30	genetic_mutation	greedy		random_search		greedy		-14.28813572	8,795.26
30	random_search		greedy		genetic_crossover	all		-14.24375796	8,705.64
30	spiral_dynamic		all		random_sample		all		-14.12413283	8,633.41
30	random_search		greedy		swarm_dynamic		all		-13.989544229	8,973.11
40	differential_mutation	greedy		spiral_dynamic		all		-14.26039802	11,684.97
40	differential_mutation	greedy		swarm_dynamic		all		-14.23847655	11,723.16
40	firefly_dynamic		greedy		swarm_dynamic		all		-14.21379693	11,824.72
40	differential_mutation	greedy		random_sample		all		-13.97899124	11,532.64
40	genetic_crossover	all		differential_mutation	greedy		-13.82944345	11,946.38
50	differential_mutation	greedy		spiral_dynamic		all		-14.25913573	14,592.00
50	random_flight		greedy		differential_mutation	greedy		-14.25252316	14,366.21
50	differential_mutation	greedy		spiral_dynamic		all		-14.24983471	14,588.96
50	random_search		greedy		genetic_crossover	all		-14.15770420	14,408.76
50	swarm_dynamic		all		spiral_dynamic		all		-14.05937826	14,633.29
60	differential_mutation	greedy		spiral_dynamic		all		-14.25432262	17,716.00
60	local_random_walk	greedy		genetic_mutation	greedy		-13.87245473	17,569.47
60	spiral_dynamic		greedy		differential_mutation	all		-13.25422318	17,803.25
60	differential_mutation	greedy		spiral_dynamic		all		-14.26013521	17,719.23
60	differential_mutation	greedy		spiral_dynamic		all		-14.24983317	17,720.11
70	random_search		greedy		swarm_dynamic		all		-14.25048060	20,836.14
70	differential_mutation	greedy		firefly_dynamic		all		-14.06518737	20,799.36
